冊別,類型,篇名,來源單元,題號,題目,選項A,選項B,選項C,選項D,選項E,選項F,正確答案,解析,題目卷檔名,答案卷檔名
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,11,"A: __________
B: It's my new English book.",What is that?,Is this a book?,How are you?,I have a book.,,,A,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,12,"A: What is __________?
B: That is a ruler.",she,those,this,they,,,C,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,13,"A: __________ are those?
B: They are trees.",Who,What,When,Where,,,B,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,14,__________ boys are tall.,This,These,That,It,,,B,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,15,"A: What is this?
B: __________","Yes, a book.",They are books.,That is a book.,"No, this is not a book.",,,C,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,16,Jerry has __________ car.,an,X,a,the,,,C,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,17,"A: What __________ those?
B: They are tables.",is,are,am,do,,,B,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,18,Kenny's father is ___________ brother.,Tina,Tina's,she,,,,B,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,19,Jack:Who is the girl walking with Sam?,"Sally:Oh! That's ____________ sister, Alice.",his,he,him,,,A,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,20,This is _____________ telephone.,our,I,you,,,,A,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,21,Those are ___________ cars.,she,her,us,,,,B,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,22,This is ___________ eraser.,my,he,us,,,,A,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,23,"A: What are they in the box?
B: __________",They are in the box.,They are pencils.,They are students.,They are handsome.,,,B,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,24,"A: __________
B: Kitty and Mini.",What is this?,Where are they?,What are your cats' names?,How are they?,,,C,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,25,"A: __________
B: She is my teacher.",Who is that woman?,What does your mother do?,What is her name?,How old is your teacher?,,,A,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,26,"A: __________
B: He is Mark.",What is her name?,How is he?,What is his name?,Where is he?,,,C,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,27,"A: What is that tall girl's name?
B: __________",She is 7.,She is fine.,She is bad.,She is Jane.,,,D,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,28,Their house __________ too big to clean well.,is,do,are,does,,,A,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,29,Your watch __________ new and beautiful.,is,do,are,does,,,A,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,30,My shoes are clean. I wash __________ every Sunday.,my,it,him,them,,,D,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,31,This is my sister. __________ dress is dirty.,She,He,Her,His,,,C,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,32,Flowers are very beautiful. __________ colors are different.,You,Our,They,Their,,,D,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,33,Karen and Gloria are sisters. That boy over there is __________ younger brother.,they,their,them,you,,,B,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,34,They are my brothers. Their names __________ Andy and Peter.,is,do,are,does,,,C,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,35,This is my sister. __________ name is Amy.,She,He,Her,His,,,C,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,36,"Hello, everyone. __________ name is Bill.",I,My,Me,Our,,,B,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,37,"Frank: What __________ your brother's and sister's names?
Sandy: Mark and Jane.",is,are,do,does,,,B,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,38,"Andy: What __________ your brother's name?
Harry: Mark.",is,do,are,does,,,A,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,What 引導的問句及答句，代名詞所有格,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格,39,That girl __________ her sister.,is,do,are,does,,,A,,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_題目卷.pdf,英語第一冊_語言學習結構內容_What 引導的問句及答句，代名詞所有格_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,1,Look at the picture. The dog is ________ the house.,across from,behind,next to,in front of,,,D,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,2,"Look at the picture.
The ruler is ________ the chair.",at,under,on,in,,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,3,"Grace: ___________ the fish?
Mandy: They are in the bowl.",What's,What are,Where's,Where are,,,D,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,4,"We are eating lunch in the
.",sofa,dining room,party,lunchbox,,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,5,"A:
is Pam?
B: She is in her bedroom.",Who,What,Where,How,,,C,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,6,"My teacher is from Canada, and my friend Peter __________, too.",come from,is,is from,from Canada,,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,7,"Judy:__________ you __________ from South Africa?
Sam:No, __________.","Do, come, I am","Are, X, am","Are, come, I am not","Are, X, I'm not",,,D,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,8,"Rain:I'm from Korea.
Penny:Really? My father __________ __________ Korea, too.","from, X","from, come","come, X","is, from",,,D,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,9,Do you __________ from Taiwan?,X,are,come,are come,,,C,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,10,Where __________ you __________ from?,"is, X","do, X","are, come","do, come",,,D,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,11,Unis:__________ she and her teacher from Africa?,"Frank:No, they aren't. They are from Germany.",Are,Is,Am,,,A,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,12,"Gina:Are you from Taiwan?
Meg:Yes, __________.",I from.,I am from.,I do.,I am.,,,D,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,13,Where __________ __________ from?,"is, your","are, his classmate","is, her teacher","are, your",,,C,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,14,Your __________ __________ from Panama.,"brothers, is","friends, are","are, come","sister, are",,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,15,Is __________ from America?,you,her,his brother,she's,,,C,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,16,You __________ Canada.,am from,come,from,are from,,,D,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,17,Judy:__________ they from Germany?,"Sally:No, they are from Japan.",Am,Are,Is,,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,18,Memy:I __________ Taiwan.,"Shirley:Really? I'm from Taiwan, too.",am from,from,come,,,A,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,19,Any:__________ is he from?,Richard:He is from Japan.,How,Where,What,,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,20,Rick:Where __________ you from?,Pam: I'm from the USA.,is,are,am,,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,21,"Nancy: __________
Helen: It is between a bookstore and a restaurant.",How can I get to the train station?,Where is the department store?,What can I take to the post office?,Who is going to buy a book?,,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,22,"Mom: Where is your father?
Son: He is __________.",fine,cooking,40 years old,in the kitchen,,,D,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,23,"Leo: Where are __________?
Joy: Under the tree.",your toy,the girls,a dog,my cake,,,B,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,24,"Kelly: Where __________ your pen?
Joyce: In my pencil case.",am,are,is,have,,,C,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
英語第一冊,語言學習結構內容,Where 引導的問句及答句，問地方，場所介詞，介紹國家,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家,25,"Peter: __________ is your book?
Frank: It's in my bag.",Where,What,Who,How,,,A,,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_題目卷.pdf,英語第一冊_語言學習結構內容_Where 引導的問句及答句，問地方，場所介詞，介紹國家_答案卷.pdf
